订单号,订单日期,产品类别,产品名称,销售区域,城市,销售渠道,客户类型,数量,单价,折扣率,销售额
ORD20256302,2024-06-06,美妆个护,氨基酸洁面,华东,宁波,线下门店,企业采购,7,370.19,0.2,2073.06
ORD20268535,2024-06-06,电子产品,智能手机,西南,贵阳,线上商城,个人用户,3,3677.93,0.15,9378.72
ORD20255611,2024-06-06,办公用品,碎纸机,华东,上海,线上商城,个人用户,5,183.67,0.15,780.6
ORD20263583,2024-06-06,家居用品,实木置物架,华东,南京,APP,个人用户,5,1424.59,0.0,7122.95
ORD20269155,2024-06-06,家居用品,北欧落地灯,华中,长沙,小程序,个人用户,1,472.28,0.1,425.05
ORD20262865,2024-06-06,美妆个护,防晒喷雾,华南,佛山,线上商城,企业采购,1,260.63,0.1,234.57
ORD20251223,2024-06-06,家居用品,实木置物架,华东,南京,线上商城,个人用户,6,1040.61,0.05,5931.48
ORD20245705,2024-06-06,服装鞋帽,纯棉T恤,华南,广州,APP,会员用户,4,64.03,0.0,256.12
ORD20262626,2024-06-06,家居用品,加湿器,华南,佛山,线上商城,个人用户,5,217.64,0.0,1088.2
ORD20264462,2024-06-06,服装鞋帽,修身牛仔裤,华东,苏州,APP,个人用户,6,344.59,0.1,1860.79
ORD20251590,2024-06-06,服装鞋帽,修身牛仔裤,华东,南京,线上商城,会员用户,8,629.65,0.1,4533.48
ORD20266774,2024-06-06,电子产品,智能手表,华北,石家庄,APP,会员用户,4,1578.53,0.1,5682.71
ORD20241357,2024-06-06,家居用品,陶瓷餐具套装,华东,上海,线上商城,会员用户,6,923.46,0.15,4709.65
ORD20264328,2024-06-06,服装鞋帽,修身牛仔裤,华中,武汉,APP,会员用户,11,872.34,0.2,7676.59
ORD20253268,2024-06-06,服装鞋帽,连帽卫衣,华北,天津,线上商城,个人用户,1,634.56,0.1,571.1
ORD20256154,2024-06-06,办公用品,中性笔套装,华东,上海,APP,企业采购,1,101.29,0.05,96.23
ORD20259096,2024-06-06,服装鞋帽,纯棉T恤,华东,宁波,线上商城,个人用户,1,790.73,0.0,790.73
ORD20249180,2024-06-06,电子产品,高清显示器,华北,天津,线上商城,企业采购,5,8981.11,0.2,35924.44
ORD20258878,2024-06-06,电子产品,智能手表,华南,东莞,线上商城,企业采购,4,4847.6,0.1,17451.36
ORD20252206,2024-06-06,服装鞋帽,纯棉T恤,华东,苏州,线下门店,会员用户,2,679.28,0.2,1086.85
ORD20255605,2024-06-06,家居用品,陶瓷餐具套装,华北,天津,APP,会员用户,1,1260.72,0.0,1260.72
ORD20262668,2024-06-06,电子产品,无线蓝牙耳机,华东,杭州,线上商城,会员用户,3,7654.46,0.15,19518.87
ORD20266782,2024-06-06,家居用品,陶瓷餐具套装,华中,武汉,线上商城,个人用户,1,1426.54,0.05,1355.21
ORD20252846,2024-06-06,家居用品,北欧落地灯,华东,苏州,线上商城,个人用户,6,880.68,0.1,4755.67
ORD20245764,2024-06-06,办公用品,碎纸机,西北,兰州,线上商城,会员用户,7,78.41,0.0,548.87
ORD20249102,2024-06-07,家居用品,加湿器,华东,宁波,线上商城,个人用户,4,765.4,0.1,2755.44
ORD20253926,2024-06-07,家居用品,记忆棉枕头,华东,上海,小程序,企业采购,4,1292.34,0.0,5169.36
ORD20246667,2024-06-07,电子产品,智能手机,华中,武汉,APP,会员用户,2,2016.04,0.3,2822.46
ORD20269172,2024-06-07,电子产品,便携充电宝,西南,昆明,线上商城,企业采购,1,5186.71,0.1,4668.04
ORD20245072,2024-06-07,食品饮料,挂耳咖啡,华东,南京,APP,企业采购,4,214.3,0.0,857.2
ORD20244746,2024-06-07,母婴玩具,婴儿纸尿裤,华北,北京,线上商城,企业采购,7,485.45,0.2,2718.52
ORD20268468,2024-06-07,家居用品,北欧落地灯,华东,宁波,APP,会员用户,2,216.71,0.2,346.74
ORD20264666,2024-06-07,家居用品,北欧落地灯,西南,昆明,小程序,企业采购,4,263.88,0.2,844.42
ORD20263324,2024-06-07,电子产品,无线蓝牙耳机,西南,重庆,线上商城,企业采购,2,5650.39,0.0,11300.78
ORD20256129,2024-06-07,家居用品,加湿器,华东,上海,APP,企业采购,2,960.38,0.2,1536.61
ORD20265273,2024-06-07,美妆个护,香氛沐浴露,西北,西安,APP,个人用户,3,396.04,0.15,1009.9
ORD20265504,2024-06-07,食品饮料,手工巧克力,华北,太原,APP,个人用户,14,201.53,0.05,2680.35
ORD20269778,2024-06-07,电子产品,便携充电宝,华南,广州,小程序,会员用户,3,7744.83,0.0,23234.49
ORD20255215,2024-06-07,服装鞋帽,防风外套,华东,宁波,小程序,会员用户,2,811.28,0.2,1298.05
ORD20252442,2024-06-07,电子产品,机械键盘,华东,苏州,小程序,企业采购,3,2888.28,0.0,8664.84
ORD20240377,2024-06-07,电子产品,无线蓝牙耳机,华中,武汉,小程序,企业采购,2,8089.64,0.2,12943.42
ORD20242970,2024-06-07,食品饮料,气泡水,华北,太原,APP,个人用户,4,158.5,0.0,634.0
ORD20265361,2024-06-07,服装鞋帽,跑步鞋,东北,沈阳,线上商城,会员用户,5,882.21,0.05,4190.5
ORD20243573,2024-06-07,家居用品,陶瓷餐具套装,华东,宁波,APP,个人用户,3,361.16,0.0,1083.48
ORD20266414,2024-06-07,美妆个护,防晒喷雾,西南,重庆,APP,个人用户,9,127.44,0.3,802.87
ORD20242080,2024-06-07,运动户外,户外帐篷,华南,佛山,APP,个人用户,4,1063.99,0.3,2979.17
ORD20269111,2024-06-07,家居用品,陶瓷餐具套装,华北,石家庄,小程序,个人用户,4,1160.01,0.05,4408.04
ORD20263206,2024-06-07,美妆个护,氨基酸洁面,华北,太原,线上商城,个人用户,4,65.8,0.0,263.2
ORD20257699,2024-06-07,服装鞋帽,纯棉T恤,华北,北京,线上商城,会员用户,5,459.22,0.05,2181.3
ORD20256011,2024-06-07,运动户外,户外帐篷,华北,石家庄,小程序,个人用户,2,209.47,0.2,335.15
ORD20248567,2024-06-07,运动户外,户外帐篷,华东,苏州,线上商城,个人用户,2,1001.74,0.05,1903.31
ORD20259837,2024-06-07,家居用品,记忆棉枕头,华东,苏州,线上商城,个人用户,9,920.93,0.3,5801.86
ORD20262378,2024-06-07,电子产品,高清显示器,西南,贵阳,线上商城,个人用户,5,2876.01,0.15,12223.04
ORD20256294,2024-06-07,电子产品,智能手机,东北,哈尔滨,APP,会员用户,1,3557.54,0.0,3557.54
ORD20267890,2024-06-07,服装鞋帽,连帽卫衣,华北,石家庄,小程序,会员用户,10,442.43,0.15,3760.66
ORD20266134,2024-06-07,美妆个护,保湿面霜,华东,南京,线上商城,企业采购,4,690.22,0.2,2208.7
ORD20264525,2024-06-07,家居用品,北欧落地灯,华中,郑州,APP,个人用户,1,469.94,0.0,469.94
ORD20265147,2024-06-07,电子产品,机械键盘,东北,哈尔滨,线上商城,企业采购,3,4231.38,0.15,10790.02
ORD20262400,2024-06-07,电子产品,高清显示器,华东,杭州,APP,个人用户,1,5887.94,0.0,5887.94
ORD20244395,2024-06-07,服装鞋帽,跑步鞋,华南,广州,小程序,企业采购,13,292.76,0.3,2664.12
ORD20265950,2024-06-07,食品饮料,气泡水,华中,武汉,线上商城,会员用户,2,101.8,0.3,142.52
ORD20244271,2024-06-07,电子产品,机械键盘,华北,太原,线上商城,个人用户,4,5204.65,0.1,18736.74
ORD20241425,2024-06-07,家居用品,记忆棉枕头,华东,杭州,线上商城,企业采购,4,600.83,0.0,2403.32
ORD20248379,2024-06-07,服装鞋帽,跑步鞋,华东,上海,线上商城,个人用户,4,828.52,0.0,3314.08
ORD20265936,2024-06-07,办公用品,中性笔套装,华东,南京,小程序,企业采购,2,122.81,0.0,245.62
ORD20253963,2024-06-07,母婴玩具,儿童积木,西北,兰州,小程序,个人用户,3,327.06,0.0,981.18
ORD20252599,2024-06-07,食品饮料,有机牛奶,华南,佛山,小程序,个人用户,16,87.72,0.15,1192.99
ORD20268747,2024-06-07,母婴玩具,婴儿纸尿裤,东北,沈阳,线上商城,个人用户,4,488.04,0.0,1952.16
ORD20246353,2024-06-07,家居用品,北欧落地灯,华南,广州,线上商城,个人用户,2,817.44,0.05,1553.14
ORD20269384,2024-06-07,食品饮料,坚果零食礼包,华南,广州,线上商城,个人用户,11,218.83,0.2,1925.7
ORD20246195,2024-06-07,服装鞋帽,连帽卫衣,华北,太原,线上商城,个人用户,10,793.85,0.15,6747.72
ORD20244070,2024-06-07,电子产品,高清显示器,华南,东莞,小程序,个人用户,2,5655.49,0.2,9048.78
ORD20259936,2024-06-07,母婴玩具,遥控玩具车,华东,苏州,APP,个人用户,4,148.33,0.0,593.32
ORD20258335,2024-06-07,食品饮料,有机牛奶,西南,重庆,线上商城,个人用户,16,191.08,0.2,2445.82
ORD20249958,2024-06-07,运动户外,健身哑铃,华北,北京,APP,个人用户,2,1092.46,0.3,1529.44
ORD20267236,2024-06-07,食品饮料,有机牛奶,华北,太原,小程序,个人用户,26,122.35,0.3,2226.77
ORD20245133,2024-06-07,办公用品,文件收纳盒,西北,兰州,线上商城,个人用户,7,556.82,0.0,3897.74
ORD20250584,2024-06-07,食品饮料,有机牛奶,华东,杭州,小程序,企业采购,1,211.01,0.05,200.46
ORD20244631,2024-06-07,食品饮料,有机牛奶,华东,杭州,线上商城,会员用户,22,59.58,0.2,1048.61
ORD20252439,2024-06-07,家居用品,北欧落地灯,华北,天津,小程序,个人用户,11,298.46,0.3,2298.14
ORD20253459,2024-06-07,食品饮料,手工巧克力,华北,天津,APP,个人用户,15,72.18,0.3,757.89
ORD20242322,2024-06-07,运动户外,运动水壶,华东,杭州,线上商城,企业采购,1,511.24,0.0,511.24
ORD20261409,2024-06-07,办公用品,中性笔套装,华南,深圳,线上商城,个人用户,1,452.17,0.1,406.95
ORD20263856,2024-06-07,电子产品,便携充电宝,华中,武汉,线上商城,个人用户,4,5102.04,0.1,18367.34
ORD20254425,2024-06-07,运动户外,健身哑铃,华北,太原,线上商城,个人用户,2,1020.64,0.2,1633.02
ORD20260712,2024-06-07,运动户外,运动水壶,西南,贵阳,小程序,会员用户,1,187.97,0.05,178.57
ORD20264599,2024-06-07,家居用品,实木置物架,华中,武汉,线上商城,会员用户,5,1036.55,0.0,5182.75
ORD20249674,2024-06-07,服装鞋帽,纯棉T恤,华东,上海,APP,个人用户,9,288.77,0.3,1819.25
ORD20254889,2024-06-07,家居用品,北欧落地灯,华东,宁波,小程序,企业采购,1,277.4,0.0,277.4
ORD20252685,2024-06-07,运动户外,户外帐篷,华北,石家庄,小程序,个人用户,2,1033.54,0.0,2067.08
ORD20268596,2024-06-07,家居用品,记忆棉枕头,华北,天津,线上商城,个人用户,4,958.41,0.1,3450.28
ORD20247120,2024-06-07,电子产品,智能手机,华南,广州,APP,企业采购,5,3428.74,0.15,14572.14
ORD20263630,2024-06-07,电子产品,智能手机,华东,上海,小程序,企业采购,3,8739.65,0.0,26218.95
ORD20256217,2024-06-07,食品饮料,手工巧克力,华北,太原,线上商城,企业采购,3,159.73,0.0,479.19
ORD20245214,2024-06-07,食品饮料,有机牛奶,华南,深圳,小程序,个人用户,8,44.34,0.0,354.72
ORD20263399,2024-06-07,服装鞋帽,修身牛仔裤,华南,深圳,线上商城,个人用户,6,91.19,0.0,547.14
ORD20255502,2024-06-07,家居用品,实木置物架,东北,沈阳,线上商城,企业采购,8,1323.92,0.15,9002.66
ORD20251176,2024-06-07,办公用品,中性笔套装,东北,沈阳,线上商城,企业采购,8,387.94,0.15,2637.99
ORD20240106,2024-06-07,服装鞋帽,连帽卫衣,华东,杭州,线上商城,个人用户,4,719.1,0.0,2876.4
ORD20267397,2024-06-07,服装鞋帽,连帽卫衣,华东,南京,线上商城,会员用户,3,330.58,0.0,991.74
ORD20256915,2024-06-07,办公用品,中性笔套装,华北,天津,线上商城,个人用户,10,290.64,0.05,2761.08
ORD20245920,2024-06-07,食品饮料,坚果零食礼包,华北,北京,线上商城,企业采购,3,190.85,0.0,572.55
ORD20258804,2024-06-07,食品饮料,挂耳咖啡,华东,苏州,APP,个人用户,10,118.81,0.0,1188.1
ORD20254418,2024-06-07,家居用品,记忆棉枕头,华北,北京,线上商城,个人用户,7,207.36,0.3,1016.06
ORD20241034,2024-06-07,办公用品,办公椅,华东,上海,APP,企业采购,7,355.29,0.0,2487.03
ORD20266949,2024-06-07,电子产品,无线蓝牙耳机,华东,苏州,线上商城,会员用户,3,6859.63,0.0,20578.89
ORD20248938,2024-06-07,电子产品,便携充电宝,华北,天津,小程序,个人用户,7,7022.03,0.3,34407.95
ORD20247090,2024-06-07,服装鞋帽,修身牛仔裤,华南,佛山,线上商城,个人用户,2,399.5,0.0,799.0
ORD20240753,2024-06-07,电子产品,高清显示器,华东,杭州,小程序,会员用户,3,3946.8,0.15,10064.34
ORD20249023,2024-06-07,办公用品,文件收纳盒,西南,昆明,线下门店,个人用户,6,577.6,0.05,3292.32
ORD20244460,2024-06-07,运动户外,健身哑铃,华南,广州,APP,企业采购,3,164.89,0.0,494.67
ORD20266507,2024-06-07,办公用品,中性笔套装,东北,沈阳,APP,企业采购,2,409.77,0.0,819.54
ORD20252096,2024-06-07,运动户外,户外帐篷,西北,兰州,小程序,会员用户,5,908.62,0.2,3634.48
ORD20258094,2024-06-07,服装鞋帽,连帽卫衣,西南,重庆,线上商城,会员用户,1,838.3,0.0,838.3
ORD20257374,2024-06-07,家居用品,加湿器,华东,宁波,APP,企业采购,9,1305.94,0.2,9402.77
ORD20261274,2024-06-07,家居用品,北欧落地灯,华中,长沙,小程序,个人用户,2,798.59,0.0,1597.18
ORD20260606,2024-06-07,运动户外,运动水壶,东北,大连,线上商城,会员用户,4,924.49,0.1,3328.16
ORD20260594,2024-06-07,食品饮料,挂耳咖啡,西南,昆明,小程序,个人用户,10,267.78,0.05,2543.91
ORD20241906,2024-06-08,办公用品,办公椅,华北,石家庄,APP,个人用户,7,458.36,0.1,2887.67
ORD20261888,2024-06-08,食品饮料,有机牛奶,华中,长沙,线下门店,会员用户,1,120.84,0.1,108.76
ORD20256524,2024-06-08,运动户外,健身哑铃,华北,太原,线上商城,会员用户,5,873.13,0.2,3492.52
ORD20268072,2024-06-08,服装鞋帽,防风外套,西南,重庆,小程序,个人用户,7,875.29,0.2,4901.62
ORD20242669,2024-06-08,美妆个护,防晒喷雾,东北,大连,线上商城,个人用户,4,318.4,0.05,1209.92
ORD20250581,2024-06-08,食品饮料,有机牛奶,华东,杭州,线下门店,个人用户,15,250.93,0.1,3387.56
ORD20263952,2024-06-08,家居用品,陶瓷餐具套装,华南,深圳,小程序,会员用户,1,322.9,0.1,290.61
ORD20251020,2024-06-08,美妆个护,保湿面霜,华东,宁波,小程序,企业采购,2,387.32,0.0,774.64
ORD20261321,2024-06-08,家居用品,实木置物架,华南,深圳,线下门店,企业采购,1,577.63,0.0,577.63
ORD20240546,2024-06-08,电子产品,智能手表,华东,南京,线下门店,个人用户,3,8334.15,0.0,25002.45
ORD20246228,2024-06-08,电子产品,智能手表,华北,北京,线上商城,企业采购,4,6591.57,0.3,18456.4
ORD20261699,2024-06-08,家居用品,北欧落地灯,华南,佛山,线下门店,企业采购,1,1248.23,0.0,1248.23
ORD20268862,2024-06-08,电子产品,高清显示器,华南,佛山,线上商城,个人用户,2,1112.3,0.0,2224.6
ORD20263532,2024-06-08,电子产品,便携充电宝,华东,上海,线上商城,企业采购,2,3257.46,0.15,5537.68
ORD20243249,2024-06-08,食品饮料,坚果零食礼包,西南,昆明,线上商城,会员用户,1,117.97,0.1,106.17
ORD20251288,2024-06-08,运动户外,瑜伽垫,华北,北京,小程序,企业采购,3,1251.83,0.0,3755.49
ORD20240572,2024-06-08,食品饮料,坚果零食礼包,西南,重庆,小程序,企业采购,10,216.89,0.0,2168.9
ORD20265932,2024-06-08,家居用品,加湿器,华北,北京,线上商城,个人用户,4,899.99,0.05,3419.96
ORD20244665,2024-06-08,食品饮料,有机牛奶,华北,北京,线上商城,个人用户,14,151.06,0.2,1691.87
ORD20259238,2024-06-08,办公用品,碎纸机,华东,南京,APP,会员用户,10,205.45,0.1,1849.05
ORD20258956,2024-06-08,电子产品,智能手表,华东,杭州,小程序,个人用户,1,3340.26,0.1,3006.23
ORD20241749,2024-06-08,电子产品,便携充电宝,华南,深圳,线上商城,会员用户,2,1412.69,0.3,1977.77
ORD20264312,2024-06-08,服装鞋帽,跑步鞋,华东,宁波,小程序,个人用户,5,321.61,0.05,1527.65
ORD20251053,2024-06-08,电子产品,无线蓝牙耳机,华东,南京,线上商城,企业采购,1,8767.08,0.0,8767.08
ORD20251502,2024-06-08,美妆个护,氨基酸洁面,华南,广州,线上商城,企业采购,3,796.72,0.0,2390.16
ORD20251466,2024-06-08,食品饮料,坚果零食礼包,华南,广州,小程序,个人用户,10,191.29,0.1,1721.61
ORD20258756,2024-06-08,家居用品,加湿器,华北,石家庄,小程序,会员用户,1,1534.5,0.0,1534.5
ORD20268212,2024-06-08,食品饮料,挂耳咖啡,华南,广州,线上商城,企业采购,13,155.69,0.2,1619.18
ORD20247947,2024-06-08,母婴玩具,儿童积木,华南,广州,线上商城,企业采购,2,384.19,0.15,653.12
ORD20249080,2024-06-08,电子产品,无线蓝牙耳机,西南,成都,APP,会员用户,3,4882.03,0.1,13181.48
ORD20251819,2024-06-08,母婴玩具,遥控玩具车,华北,太原,小程序,会员用户,1,335.06,0.1,301.55
ORD20262988,2024-06-08,运动户外,运动水壶,华南,东莞,线上商城,个人用户,4,409.81,0.1,1475.32
ORD20267813,2024-06-08,家居用品,实木置物架,华中,长沙,线上商城,会员用户,9,508.28,0.2,3659.62
ORD20241005,2024-06-08,电子产品,智能手机,华东,宁波,线上商城,个人用户,1,4737.31,0.0,4737.31
ORD20255779,2024-06-08,运动户外,户外帐篷,西南,昆明,线上商城,个人用户,2,1102.32,0.3,1543.25
ORD20243388,2024-06-08,食品饮料,有机牛奶,华南,广州,线上商城,个人用户,22,77.41,0.3,1192.11
ORD20266807,2024-06-08,家居用品,北欧落地灯,华中,长沙,线上商城,个人用户,2,1408.82,0.0,2817.64
ORD20261526,2024-06-08,服装鞋帽,跑步鞋,华东,南京,线上商城,会员用户,1,527.24,0.05,500.88
ORD20263982,2024-06-08,母婴玩具,婴儿纸尿裤,华中,郑州,线下门店,个人用户,3,440.95,0.0,1322.85
ORD20262817,2024-06-08,电子产品,智能手机,华东,南京,APP,会员用户,4,6387.3,0.3,17884.44
ORD20250902,2024-06-08,服装鞋帽,防风外套,西南,重庆,小程序,企业采购,2,503.53,0.0,1007.06
ORD20246431,2024-06-08,服装鞋帽,跑步鞋,华北,天津,APP,企业采购,7,530.17,0.1,3340.07
ORD20257818,2024-06-08,家居用品,实木置物架,华中,武汉,线下门店,个人用户,4,1157.18,0.0,4628.72
ORD20263149,2024-06-08,服装鞋帽,连帽卫衣,华南,广州,线上商城,个人用户,13,502.62,0.3,4573.84
ORD20242899,2024-06-08,家居用品,实木置物架,华北,北京,线上商城,个人用户,1,1079.51,0.0,1079.51
ORD20260379,2024-06-08,家居用品,记忆棉枕头,东北,沈阳,线上商城,企业采购,6,957.77,0.05,5459.29
ORD20246997,2024-06-08,家居用品,记忆棉枕头,华北,太原,APP,企业采购,4,470.54,0.2,1505.73
ORD20246872,2024-06-08,办公用品,碎纸机,华南,深圳,线上商城,会员用户,8,308.94,0.1,2224.37
ORD20241582,2024-06-08,母婴玩具,儿童积木,华中,武汉,小程序,个人用户,2,482.32,0.0,964.64
ORD20264912,2024-06-08,服装鞋帽,连帽卫衣,华中,长沙,线上商城,个人用户,5,846.99,0.05,4023.2
ORD20251726,2024-06-08,家居用品,陶瓷餐具套装,华中,长沙,小程序,个人用户,1,256.14,0.0,256.14
ORD20258290,2024-06-08,电子产品,高清显示器,华北,石家庄,线上商城,企业采购,2,6494.84,0.0,12989.68
ORD20267105,2024-06-08,食品饮料,挂耳咖啡,华北,石家庄,小程序,会员用户,11,277.14,0.3,2133.98
ORD20253004,2024-06-08,运动户外,运动水壶,华东,杭州,线上商城,企业采购,2,790.54,0.0,1581.08
ORD20256071,2024-06-08,办公用品,A4打印纸,华北,石家庄,线上商城,企业采购,8,561.91,0.0,4495.28
ORD20254375,2024-06-08,食品饮料,手工巧克力,华中,郑州,APP,个人用户,12,97.95,0.05,1116.63
ORD20251919,2024-06-08,电子产品,智能手表,西南,成都,APP,个人用户,2,7833.45,0.0,15666.9
ORD20243094,2024-06-08,美妆个护,保湿面霜,华东,宁波,APP,个人用户,1,348.65,0.05,331.22
ORD20260036,2024-06-08,办公用品,办公椅,华东,杭州,线上商城,个人用户,8,576.07,0.0,4608.56
ORD20269570,2024-06-08,电子产品,机械键盘,华北,太原,APP,个人用户,3,4343.3,0.0,13029.9
ORD20240040,2024-06-08,美妆个护,氨基酸洁面,华北,太原,小程序,企业采购,1,137.25,0.0,137.25
ORD20268060,2024-06-08,电子产品,机械键盘,华北,太原,线上商城,个人用户,2,2617.44,0.2,4187.9
ORD20241019,2024-06-08,家居用品,加湿器,华东,南京,APP,个人用户,3,823.28,0.0,2469.84
ORD20264235,2024-06-08,家居用品,陶瓷餐具套装,华东,上海,线上商城,个人用户,4,263.75,0.3,738.5
ORD20268990,2024-06-08,服装鞋帽,防风外套,西南,成都,APP,个人用户,7,120.55,0.2,675.08
ORD20256438,2024-06-08,电子产品,智能手机,西南,昆明,APP,会员用户,3,2735.44,0.1,7385.69
ORD20252579,2024-06-08,母婴玩具,保温奶瓶,西南,贵阳,小程序,个人用户,6,527.34,0.1,2847.64
ORD20264144,2024-06-08,食品饮料,手工巧克力,华东,杭州,小程序,企业采购,1,48.9,0.05,46.46
ORD20260068,2024-06-08,家居用品,记忆棉枕头,华东,上海,线上商城,个人用户,3,352.11,0.1,950.7
ORD20247865,2024-06-08,电子产品,便携充电宝,华东,杭州,APP,企业采购,3,2191.33,0.0,6573.99
ORD20254249,2024-06-08,母婴玩具,婴儿纸尿裤,东北,沈阳,APP,个人用户,3,219.83,0.0,659.49
ORD20261740,2024-06-08,电子产品,便携充电宝,华南,广州,APP,个人用户,4,7670.47,0.3,21477.32
ORD20269969,2024-06-08,电子产品,智能手机,华东,南京,线下门店,企业采购,3,8592.69,0.1,23200.26
ORD20267207,2024-06-08,美妆个护,香氛沐浴露,华南,佛山,小程序,个人用户,4,731.73,0.0,2926.92
ORD20253966,2024-06-08,服装鞋帽,修身牛仔裤,华北,天津,APP,个人用户,4,374.3,0.2,1197.76
ORD20261970,2024-06-08,运动户外,瑜伽垫,华东,南京,APP,个人用户,2,322.43,0.0,644.86
ORD20261597,2024-06-08,母婴玩具,保温奶瓶,华北,太原,线上商城,企业采购,1,476.77,0.05,452.93
ORD20266643,2024-06-08,家居用品,记忆棉枕头,华北,天津,APP,个人用户,2,788.59,0.05,1498.32
ORD20258592,2024-06-08,家居用品,实木置物架,华东,杭州,线上商城,个人用户,4,1495.94,0.2,4787.01
ORD20245395,2024-06-08,服装鞋帽,纯棉T恤,华北,天津,线上商城,企业采购,5,467.51,0.15,1986.92
ORD20252762,2024-06-08,家居用品,加湿器,东北,哈尔滨,APP,企业采购,2,1157.6,0.0,2315.2
ORD20253010,2024-06-08,运动户外,户外帐篷,华中,武汉,APP,个人用户,3,969.19,0.0,2907.57
ORD20257917,2024-06-08,家居用品,记忆棉枕头,华东,南京,小程序,个人用户,1,1079.28,0.0,1079.28
ORD20267981,2024-06-08,美妆个护,香氛沐浴露,东北,沈阳,APP,个人用户,5,788.89,0.2,3155.56
ORD20252992,2024-06-08,电子产品,智能手表,华中,武汉,线上商城,个人用户,2,5046.23,0.0,10092.46
ORD20258508,2024-06-08,家居用品,加湿器,华东,上海,小程序,个人用户,9,1596.72,0.3,10059.34
ORD20245597,2024-06-08,电子产品,无线蓝牙耳机,华北,石家庄,线上商城,个人用户,5,2670.11,0.15,11347.97
ORD20243130,2024-06-08,运动户外,健身哑铃,西北,西安,线上商城,会员用户,3,987.07,0.15,2517.03
ORD20255031,2024-06-08,服装鞋帽,防风外套,华东,宁波,小程序,企业采购,1,341.01,0.0,341.01
ORD20242589,2024-06-08,食品饮料,气泡水,华东,杭州,线下门店,个人用户,15,278.41,0.1,3758.54
ORD20247704,2024-06-08,电子产品,智能手机,华东,南京,线上商城,个人用户,3,7469.13,0.0,22407.39
ORD20249755,2024-06-08,电子产品,机械键盘,华北,太原,APP,企业采购,1,8892.91,0.0,8892.91
ORD20261757,2024-06-08,食品饮料,挂耳咖啡,华东,苏州,小程序,个人用户,1,100.28,0.05,95.27
ORD20265538,2024-06-08,食品饮料,气泡水,西南,成都,小程序,会员用户,10,204.93,0.15,1741.91
ORD20260088,2024-06-08,办公用品,文件收纳盒,华南,深圳,线上商城,个人用户,4,154.84,0.05,588.39
ORD20262132,2024-06-08,运动户外,户外帐篷,西南,昆明,线上商城,企业采购,2,677.29,0.2,1083.66
ORD20253933,2024-06-08,运动户外,户外帐篷,华东,上海,小程序,个人用户,2,440.0,0.15,748.0
ORD20244153,2024-06-09,服装鞋帽,连帽卫衣,东北,沈阳,APP,个人用户,5,490.09,0.05,2327.93
ORD20267555,2024-06-09,电子产品,智能手机,西南,重庆,线下门店,个人用户,3,1076.43,0.0,3229.29
ORD20257926,2024-06-09,美妆个护,香氛沐浴露,西南,重庆,线上商城,个人用户,2,735.45,0.0,1470.9
ORD20252429,2024-06-09,服装鞋帽,防风外套,华北,天津,小程序,会员用户,5,894.69,0.0,4473.45
ORD20246481,2024-06-09,电子产品,机械键盘,华南,东莞,APP,企业采购,3,8234.53,0.0,24703.59
ORD20248861,2024-06-09,电子产品,高清显示器,华东,南京,线上商城,个人用户,3,4659.0,0.15,11880.45
ORD20268342,2024-06-09,办公用品,文件收纳盒,华南,东莞,线上商城,会员用户,8,553.19,0.0,4425.52
ORD20242334,2024-06-09,电子产品,便携充电宝,西南,成都,小程序,企业采购,2,3979.11,0.0,7958.22
ORD20252355,2024-06-09,美妆个护,保湿面霜,华中,郑州,APP,会员用户,4,705.43,0.05,2680.63
ORD20266361,2024-06-09,办公用品,办公椅,华北,石家庄,APP,个人用户,4,261.25,0.0,1045.0
ORD20248994,2024-06-09,食品饮料,坚果零食礼包,华南,东莞,线上商城,企业采购,5,36.29,0.15,154.23
ORD20242723,2024-06-09,服装鞋帽,连帽卫衣,华北,太原,小程序,会员用户,7,766.95,0.3,3758.06
ORD20249381,2024-06-09,服装鞋帽,防风外套,华东,宁波,线上商城,企业采购,3,240.18,0.15,612.46
ORD20240480,2024-06-09,食品饮料,手工巧克力,华南,广州,小程序,企业采购,6,126.2,0.0,757.2
ORD20252318,2024-06-09,母婴玩具,遥控玩具车,华南,广州,APP,个人用户,3,209.38,0.15,533.92
ORD20246922,2024-06-09,母婴玩具,婴儿纸尿裤,华北,天津,线上商城,企业采购,2,487.76,0.15,829.19
ORD20241779,2024-06-09,电子产品,机械键盘,华北,天津,线上商城,个人用户,4,7321.36,0.1,26356.9
ORD20249266,2024-06-09,美妆个护,氨基酸洁面,华南,佛山,线上商城,个人用户,1,105.43,0.05,100.16
ORD20263525,2024-06-09,运动户外,健身哑铃,华东,宁波,线上商城,个人用户,3,850.43,0.0,2551.29
ORD20257880,2024-06-09,家居用品,北欧落地灯,西南,重庆,APP,企业采购,5,1411.09,0.0,7055.45
ORD20253949,2024-06-09,电子产品,高清显示器,华北,天津,APP,个人用户,7,6468.48,0.3,31695.55
ORD20240600,2024-06-09,电子产品,机械键盘,西南,成都,APP,会员用户,5,8038.06,0.2,32152.24
ORD20261981,2024-06-09,电子产品,便携充电宝,华北,太原,APP,个人用户,5,4553.12,0.2,18212.48
ORD20262033,2024-06-09,服装鞋帽,连帽卫衣,华南,深圳,线上商城,个人用户,4,413.09,0.3,1156.65
ORD20254972,2024-06-09,家居用品,北欧落地灯,华北,北京,线上商城,个人用户,1,1472.57,0.0,1472.57
